CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,IC50 (uM)
H4_CENTRAL_NERVOUS_SYSTEM,H4,Nilotinib,ABL,7.630359173
HCC1187_BREAST,HCC1187,Nilotinib,ABL,8.0
HCC15_LUNG,HCC-15,Nilotinib,ABL,8.0
HCC1569_BREAST,HCC1569,Nilotinib,ABL,8.0
HCC1806_BREAST,HCC1806,Nilotinib,ABL,7.519812584
HCC1954_BREAST,HCC1954,Nilotinib,ABL,5.009234905
HCC2935_LUNG,HCC2935,Nilotinib,ABL,8.0
HCC4006_LUNG,HCC4006,Nilotinib,ABL,7.44418478
HCC56_LARGE_INTESTINE,HCC-56,Nilotinib,ABL,8.0
HCC70_BREAST,HCC70,Nilotinib,ABL,8.0
HCC78_LUNG,HCC-78,Nilotinib,ABL,8.0
HCT116_LARGE_INTESTINE,HCT 116,Nilotinib,ABL,8.0
HCT15_LARGE_INTESTINE,HCT-15,Nilotinib,ABL,6.496217728
HDQP1_BREAST,HDQ-P1,Nilotinib,ABL,0.125851952
HEC151_ENDOMETRIUM,HEC-151,Nilotinib,ABL,7.333292961
HEC1A_ENDOMETRIUM,HEC-1-A,Nilotinib,ABL,6.968556881
HEC1B_ENDOMETRIUM,HEC-1-B,Nilotinib,ABL,4.339510496
HEC251_ENDOMETRIUM,HEC-251,Nilotinib,ABL,8.0
HEC265_ENDOMETRIUM,HEC-265,Nilotinib,ABL,8.0
HEC59_ENDOMETRIUM,HEC-59,Nilotinib,ABL,8.0
HEC6_ENDOMETRIUM,HEC-6,Nilotinib,ABL,2.039887553
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL 92.1.7,Nilotinib,ABL,8.0
HEP3B217_LIVER,Hep 3B2.1-7,Nilotinib,ABL,4.14665699
HEPG2_LIVER,Hep G2,Nilotinib,ABL,8.0
HEYA8_OVARY,Hey-A8,Nilotinib,ABL,8.0
HGC27_STOMACH,HGC-27,Nilotinib,ABL,5.899519444
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HH,Nilotinib,ABL,8.0
HLE_LIVER,HLE,Nilotinib,ABL,8.0
