CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,IC50 (uM)
NCIH1650_LUNG,NCI-H1650,PHA-665752,c-MET,8.0
NCIH1651_LUNG,NCI-H1651,PHA-665752,c-MET,8.0
NCIH1666_LUNG,NCI-H1666,PHA-665752,c-MET,8.0
NCIH1693_LUNG,NCI-H1693,PHA-665752,c-MET,8.0
NCIH1694_LUNG,NCI-H1694,PHA-665752,c-MET,8.0
NCIH1703_LUNG,NCI-H1703,PHA-665752,c-MET,8.0
NCIH1792_LUNG,NCI-H1792,PHA-665752,c-MET,8.0
NCIH1793_LUNG,NCI-H1793,PHA-665752,c-MET,8.0
NCIH1869_LUNG,NCI-H1869,PHA-665752,c-MET,8.0
NCIH1915_LUNG,NCI-H1915,PHA-665752,c-MET,8.0
NCIH1944_LUNG,NCI-H1944,PHA-665752,c-MET,8.0
NCIH1975_LUNG,NCI-H1975,PHA-665752,c-MET,8.0
NCIH2009_LUNG,NCI-H2009,PHA-665752,c-MET,8.0
NCIH2023_LUNG,NCI-H2023,PHA-665752,c-MET,8.0
NCIH2030_LUNG,NCI-H2030,PHA-665752,c-MET,8.0
NCIH2052_PLEURA,NCI-H2052,PHA-665752,c-MET,8.0
NCIH2085_LUNG,NCI-H2085,PHA-665752,c-MET,8.0
NCIH2087_LUNG,NCI-H2087,PHA-665752,c-MET,8.0
NCIH211_LUNG,NCI-H211,PHA-665752,c-MET,6.395418167
NCIH2122_LUNG,NCI-H2122,PHA-665752,c-MET,8.0
NCIH2170_LUNG,NCI-H2170,PHA-665752,c-MET,8.0
NCIH2172_LUNG,NCI-H2172,PHA-665752,c-MET,8.0
NCIH2228_LUNG,NCI-H2228,PHA-665752,c-MET,8.0
NCIH226_LUNG,NCI-H226,PHA-665752,c-MET,8.0
NCIH2286_LUNG,NCI-H2286,PHA-665752,c-MET,8.0
NCIH23_LUNG,NCI-H23,PHA-665752,c-MET,8.0
NCIH2444_LUNG,NCI-H2444,PHA-665752,c-MET,8.0
NCIH2452_PLEURA,NCI-H2452,PHA-665752,c-MET,8.0
NCIH28_PLEURA,NCI-H28,PHA-665752,c-MET,8.0
NCIH322_LUNG,NCI-H322,PHA-665752,c-MET,8.0
NCIH3255_LUNG,NCI-H3255,PHA-665752,c-MET,8.0
NCIH358_LUNG,NCI-H358,PHA-665752,c-MET,8.0
NCIH441_LUNG,NCI-H441,PHA-665752,c-MET,8.0
NCIH460_LUNG,NCI-H460,PHA-665752,c-MET,8.0
NCIH520_LUNG,NCI-H520,PHA-665752,c-MET,8.0
NCIH522_LUNG,NCI-H522,PHA-665752,c-MET,8.0
NCIH647_LUNG,NCI-H647,PHA-665752,c-MET,8.0
NCIH650_LUNG,NCI-H650,PHA-665752,c-MET,8.0
NCIH661_LUNG,NCI-H661,PHA-665752,c-MET,8.0
NCIH727_LUNG,NCI-H727,PHA-665752,c-MET,8.0
NCIH747_LARGE_INTESTINE,NCI-H747,PHA-665752,c-MET,8.0
NCIH810_LUNG,NCI-H810,PHA-665752,c-MET,8.0
NCIN87_STOMACH,NCI-N87,PHA-665752,c-MET,8.0
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCO2,PHA-665752,c-MET,2.515162706
NIHOVCAR3_OVARY,NIH:OVCAR-3,PHA-665752,c-MET,8.0
NUGC3_STOMACH,NUGC-3,PHA-665752,c-MET,8.0
NUGC4_STOMACH,NUGC-4,PHA-665752,c-MET,3.009513855
OC314_OVARY,OC 314,PHA-665752,c-MET,8.0
OC315_OVARY,OC 315,PHA-665752,c-MET,8.0
OC316_OVARY,OC 316,PHA-665752,c-MET,8.0
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML2,PHA-665752,c-MET,8.0
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML5,PHA-665752,c-MET,8.0
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-LY10,PHA-665752,c-MET,8.0
OCUM1_STOMACH,OCUM-1,PHA-665752,c-MET,8.0
OE21_OESOPHAGUS,OE21,PHA-665752,c-MET,8.0
OE33_OESOPHAGUS,OE33,PHA-665752,c-MET,8.0
ONCODG1_OVARY,ONCO-DG-1,PHA-665752,c-MET,8.0
ONS76_CENTRAL_NERVOUS_SYSTEM,ONS-76,PHA-665752,c-MET,8.0
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM-2,PHA-665752,c-MET,8.0
OV90_OVARY,OV-90,PHA-665752,c-MET,8.0
OVCAR4_OVARY,OVCAR-4,PHA-665752,c-MET,8.0
OVCAR8_OVARY,OVCAR-8,PHA-665752,c-MET,8.0
OVMANA_OVARY,OVMANA,PHA-665752,c-MET,8.0
OVSAHO_OVARY,OVSAHO,PHA-665752,c-MET,8.0
OVTOKO_OVARY,OVTOKO,PHA-665752,c-MET,8.0
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P12-ICHIKAWA,PHA-665752,c-MET,8.0
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31/FUJ,PHA-665752,c-MET,8.0
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P3HR-1,PHA-665752,c-MET,8.0
PANC0203_PANCREAS,Panc 02.03,PHA-665752,c-MET,8.0
PANC0327_PANCREAS,Panc 03.27,PHA-665752,c-MET,8.0
PANC0403_PANCREAS,Panc 04.03,PHA-665752,c-MET,8.0
PANC1005_PANCREAS,Panc 10.05,PHA-665752,c-MET,8.0
PATU8902_PANCREAS,PA-TU-8902,PHA-665752,c-MET,8.0
PC14_LUNG,PC-14,PHA-665752,c-MET,8.0
PC3_PROSTATE,PC-3,PHA-665752,c-MET,8.0
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Pfeiffer,PHA-665752,c-MET,8.0
PK1_PANCREAS,PK-1,PHA-665752,c-MET,8.0
PK45H_PANCREAS,PK-45H,PHA-665752,c-MET,8.0
PK59_PANCREAS,PK-59,PHA-665752,c-MET,8.0
PL45_PANCREAS,PL45,PHA-665752,c-MET,8.0
PLCPRF5_LIVER,PLC/PRF/5,PHA-665752,c-MET,8.0
PSN1_PANCREAS,PSN1,PHA-665752,c-MET,8.0
QGP1_PANCREAS,QGP-1,PHA-665752,c-MET,8.0
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Raji,PHA-665752,c-MET,8.0
RD_SOFT_TISSUE,RD,PHA-665752,c-MET,8.0
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Reh,PHA-665752,c-MET,8.0
RERFGC1B_STOMACH,RERF-GC-1B,PHA-665752,c-MET,8.0
RERFLCAI_LUNG,RERF-LC-AI,PHA-665752,c-MET,8.0
RKN_OVARY,RKN,PHA-665752,c-MET,8.0
RKO_LARGE_INTESTINE,RKO,PHA-665752,c-MET,8.0
RL952_ENDOMETRIUM,RL95-2,PHA-665752,c-MET,8.0
RPMI7951_SKIN,RPMI-7951,PHA-665752,c-MET,8.0
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RPMI-8402,PHA-665752,c-MET,5.857888222
RT112_URINARY_TRACT,RT-112,PHA-665752,c-MET,8.0
RT4_URINARY_TRACT,RT4,PHA-665752,c-MET,8.0
RVH421_SKIN,RVH-421,PHA-665752,c-MET,8.0
SAOS2_BONE,Saos-2,PHA-665752,c-MET,8.0
SBC5_LUNG,SBC-5,PHA-665752,c-MET,8.0
SCABER_URINARY_TRACT,SCaBER,PHA-665752,c-MET,8.0
SCC25_UPPER_AERODIGESTIVE_TRACT,SCC-25,PHA-665752,c-MET,8.0
SCC9_UPPER_AERODIGESTIVE_TRACT,SCC-9,PHA-665752,c-MET,8.0
SF126_CENTRAL_NERVOUS_SYSTEM,SF126,PHA-665752,c-MET,8.0
SF295_CENTRAL_NERVOUS_SYSTEM,SF-295,PHA-665752,c-MET,8.0
SF8657,SF8657,PHA-665752,c-MET,8.0
SH10TC_STOMACH,SH-10-TC,PHA-665752,c-MET,8.0
SHP77_LUNG,SHP-77,PHA-665752,c-MET,8.0
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SIG-M5,PHA-665752,c-MET,0.449669963
SIMA_AUTONOMIC_GANGLIA,SIMA,PHA-665752,c-MET,8.0
SJRH30_SOFT_TISSUE,SJRH30,PHA-665752,c-MET,8.0
SJSA1_BONE,SJSA-1,PHA-665752,c-MET,8.0
SKBR3_BREAST,SK-BR-3,PHA-665752,c-MET,8.0
SKCO1_LARGE_INTESTINE,SK-CO-1,PHA-665752,c-MET,8.0
SKES1_BONE,SK-ES-1,PHA-665752,c-MET,8.0
SKHEP1_LIVER,SK-HEP-1,PHA-665752,c-MET,8.0
SKLMS1_SOFT_TISSUE,SK-LMS-1,PHA-665752,c-MET,8.0
SKLU1_LUNG,SK-LU-1,PHA-665752,c-MET,8.0
SKMEL2_SKIN,SK-MEL-2,PHA-665752,c-MET,8.0
SKMEL24_SKIN,SK-MEL-24,PHA-665752,c-MET,8.0
SKMEL30_SKIN,SK-MEL-30,PHA-665752,c-MET,8.0
SKMEL31_SKIN,SK-MEL-31,PHA-665752,c-MET,6.313907146
SKMEL5_SKIN,SK-MEL-5,PHA-665752,c-MET,8.0
SKMES1_LUNG,SK-MES-1,PHA-665752,c-MET,1.323563607
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SK-MM-2,PHA-665752,c-MET,8.0
SKNAS_AUTONOMIC_GANGLIA,SK-N-AS,PHA-665752,c-MET,8.0
SKNBE2_AUTONOMIC_GANGLIA,SK-N-BE(2),PHA-665752,c-MET,8.0
SKNDZ_AUTONOMIC_GANGLIA,SK-N-DZ,PHA-665752,c-MET,8.0
SKNFI_AUTONOMIC_GANGLIA,SK-N-FI,PHA-665752,c-MET,8.0
SKNSH_AUTONOMIC_GANGLIA,SK-N-SH,PHA-665752,c-MET,8.0
SKOV3_OVARY,SK-OV-3,PHA-665752,c-MET,8.0
SNGM_ENDOMETRIUM,SNG-M,PHA-665752,c-MET,8.0
SNU1_STOMACH,SNU-1,PHA-665752,c-MET,8.0
SNU16_STOMACH,SNU-16,PHA-665752,c-MET,8.0
SNU182_LIVER,SNU-182,PHA-665752,c-MET,8.0
SNU387_LIVER,SNU-387,PHA-665752,c-MET,8.0
SNU398_LIVER,SNU-398,PHA-665752,c-MET,8.0
SNU423_LIVER,SNU-423,PHA-665752,c-MET,8.0
SNU449_LIVER,SNU-449,PHA-665752,c-MET,8.0
SNU475_LIVER,SNU-475,PHA-665752,c-MET,8.0
SNUC2A_LARGE_INTESTINE,SNU-C2A,PHA-665752,c-MET,8.0
SNUC2B,SNU-C2B,PHA-665752,c-MET,8.0
SQ1_LUNG,Sq-1,PHA-665752,c-MET,8.0
SU8686_PANCREAS,SU.86.86,PHA-665752,c-MET,8.0
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SU-DHL-10,PHA-665752,c-MET,8.0
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SU-DHL-4,PHA-665752,c-MET,2.310960531
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SU-DHL-6,PHA-665752,c-MET,8.0
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SU-DHL-8,PHA-665752,c-MET,7.086876392
SUIT2_PANCREAS,SUIT-2,PHA-665752,c-MET,7.365355968
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUP-M2,PHA-665752,c-MET,8.0
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUP-T1,PHA-665752,c-MET,8.0
SW1088_CENTRAL_NERVOUS_SYSTEM,SW 1088,PHA-665752,c-MET,8.0
SW1271_LUNG,SW 1271,PHA-665752,c-MET,8.0
SW1353_BONE,SW 1353,PHA-665752,c-MET,8.0
SW1417_LARGE_INTESTINE,SW1417,PHA-665752,c-MET,8.0
SW1573_LUNG,SW 1573,PHA-665752,c-MET,8.0
SW1990_PANCREAS,SW 1990,PHA-665752,c-MET,8.0
SW403_LARGE_INTESTINE,SW403,PHA-665752,c-MET,8.0
SW48_LARGE_INTESTINE,SW48,PHA-665752,c-MET,8.0
SW480_LARGE_INTESTINE,SW480,PHA-665752,c-MET,8.0
SW579_THYROID,SW579,PHA-665752,c-MET,8.0
SW620_LARGE_INTESTINE,SW620,PHA-665752,c-MET,8.0
SW780_URINARY_TRACT,SW 780,PHA-665752,c-MET,8.0
SW900_LUNG,SW 900,PHA-665752,c-MET,8.0
T24_URINARY_TRACT,T24,PHA-665752,c-MET,8.0
T3M10_LUNG,T3M-10,PHA-665752,c-MET,8.0
T47D_BREAST,T-47D,PHA-665752,c-MET,8.0
T84_LARGE_INTESTINE,T84,PHA-665752,c-MET,8.0
T98G_CENTRAL_NERVOUS_SYSTEM,T98G,PHA-665752,c-MET,8.0
TC71_BONE,TC-71,PHA-665752,c-MET,8.0
TCCSUP_URINARY_TRACT,TCCSUP,PHA-665752,c-MET,8.0
TE1_OESOPHAGUS,TE-1,PHA-665752,c-MET,8.0
TE11_OESOPHAGUS,TE-11,PHA-665752,c-MET,0.031037039
TE15_OESOPHAGUS,TE-15,PHA-665752,c-MET,8.0
TE5_OESOPHAGUS,TE-5,PHA-665752,c-MET,8.0
TE617T_SOFT_TISSUE,TE 617.T,PHA-665752,c-MET,8.0
TE9_OESOPHAGUS,TE-9,PHA-665752,c-MET,8.0
TEN_ENDOMETRIUM,TEN,PHA-665752,c-MET,8.0
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Toledo,PHA-665752,c-MET,8.0
TOV112D_OVARY,TOV-112D,PHA-665752,c-MET,8.0
TOV21G_OVARY,TOV-21G,PHA-665752,c-MET,8.0
TT2609C02_THYROID,TT2609-C02,PHA-665752,c-MET,8.0
TYKNU_OVARY,TYK-nu,PHA-665752,c-MET,8.0
U118MG_CENTRAL_NERVOUS_SYSTEM,U-118 MG,PHA-665752,c-MET,8.0
U2OS_BONE,U-2 OS,PHA-665752,c-MET,8.0
U87MG_CENTRAL_NERVOUS_SYSTEM,U-87 MG,PHA-665752,c-MET,8.0
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,U-937,PHA-665752,c-MET,8.0
UACC257_SKIN,UACC-257,PHA-665752,c-MET,8.0
UACC62_SKIN,UACC-62,PHA-665752,c-MET,8.0
UACC812_BREAST,UACC-812,PHA-665752,c-MET,8.0
UMUC3_URINARY_TRACT,UM-UC-3,PHA-665752,c-MET,8.0
VMRCLCD_LUNG,VMRC-LCD,PHA-665752,c-MET,8.0
VMRCRCW_KIDNEY,VMRC-RCW,PHA-665752,c-MET,1.936048985
VMRCRCZ_KIDNEY,VMRC-RCZ,PHA-665752,c-MET,8.0
WM115_SKIN,WM-115,PHA-665752,c-MET,8.0
WM1799_SKIN,WM1799,PHA-665752,c-MET,8.0
WM2664_SKIN,WM-266-4,PHA-665752,c-MET,8.0
WM793_SKIN,WM-793,PHA-665752,c-MET,8.0
WM88_SKIN,WM-88,PHA-665752,c-MET,8.0
WM983B_SKIN,WM-983B,PHA-665752,c-MET,5.509027004
YKG1_CENTRAL_NERVOUS_SYSTEM,YKG1,PHA-665752,c-MET,8.0
ZR751_BREAST,ZR-75-1,PHA-665752,c-MET,8.0
ZR7530_BREAST,ZR-75-30,PHA-665752,c-MET,1.324181464
1321N1_CENTRAL_NERVOUS_SYSTEM,1321N1,Lapatinib,EGFR,8.0
22RV1_PROSTATE,22Rv1,Lapatinib,EGFR,7.847305298
42MGBA_CENTRAL_NERVOUS_SYSTEM,42-MG-BA,Lapatinib,EGFR,8.0
5637_URINARY_TRACT,5637,Lapatinib,EGFR,2.30776763
639V_URINARY_TRACT,639-V,Lapatinib,EGFR,8.0
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697,Lapatinib,EGFR,0.849476227
769P_KIDNEY,769-P,Lapatinib,EGFR,1.057461143
786O_KIDNEY,786-O,Lapatinib,EGFR,7.178035259
8305C_THYROID,8305C,Lapatinib,EGFR,8.0
8505C_THYROID,8505C,Lapatinib,EGFR,8.0
8MGBA_CENTRAL_NERVOUS_SYSTEM,8-MG-BA,Lapatinib,EGFR,5.226619908
A172_CENTRAL_NERVOUS_SYSTEM,A172,Lapatinib,EGFR,8.0
A204_SOFT_TISSUE,A-204,Lapatinib,EGFR,7.399832726
A2058_SKIN,A2058,Lapatinib,EGFR,8.0
A253_SALIVARY_GLAND,A-253,Lapatinib,EGFR,8.0
A2780_OVARY,A2780,Lapatinib,EGFR,7.146677494
A375_SKIN,A-375,Lapatinib,EGFR,8.0
A549_LUNG,A549,Lapatinib,EGFR,4.227246284
A673_BONE,A-673,Lapatinib,EGFR,8.0
ACHN_KIDNEY,ACHN,Lapatinib,EGFR,8.0
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL-SIL,Lapatinib,EGFR,7.289489746
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AMO-1,Lapatinib,EGFR,0.256446651
AN3CA_ENDOMETRIUM,AN3 CA,Lapatinib,EGFR,8.0
ASPC1_PANCREAS,AsPC-1,Lapatinib,EGFR,2.785627519
AU565_BREAST,AU565,Lapatinib,EGFR,0.183209524
AZ521_STOMACH,AZ-521,Lapatinib,EGFR,1.659918428
BCPAP_THYROID,B-CPAP,Lapatinib,EGFR,8.0
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BDCM,Lapatinib,EGFR,8.0
BFTC909_KIDNEY,BFTC-909,Lapatinib,EGFR,8.0
BGC823_STOMACH,BGC-823,Lapatinib,EGFR,8.0
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL-41,Lapatinib,EGFR,5.89598608
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL-70,Lapatinib,EGFR,8.0
BT20_BREAST,BT-20,Lapatinib,EGFR,8.0
BT474_BREAST,BT-474,Lapatinib,EGFR,0.116183236
BT549_BREAST,BT-549,Lapatinib,EGFR,8.0
BXPC3_PANCREAS,BxPC-3,Lapatinib,EGFR,4.599786282
C2BBE1_LARGE_INTESTINE,C2BBe1,Lapatinib,EGFR,4.09934473
C32_SKIN,C32,Lapatinib,EGFR,8.0
C3A_LIVER,C3A,Lapatinib,EGFR,8.0
CAKI2_KIDNEY,Caki-2,Lapatinib,EGFR,8.0
CAL12T_LUNG,CAL-12T,Lapatinib,EGFR,1.951666355
CAL27_UPPER_AERODIGESTIVE_TRACT,CAL 27,Lapatinib,EGFR,0.688771248
CAL78_BONE,CAL-78,Lapatinib,EGFR,8.0
CAL851_BREAST,CAL-85-1,Lapatinib,EGFR,1.899548173
CALU1_LUNG,Calu-1,Lapatinib,EGFR,8.0
CALU3_LUNG,Calu-3,Lapatinib,EGFR,0.4945876
CALU6_LUNG,Calu-6,Lapatinib,EGFR,8.0
CAMA1_BREAST,CAMA-1,Lapatinib,EGFR,8.0
CAPAN2_PANCREAS,Capan-2,Lapatinib,EGFR,8.0
CAS1_CENTRAL_NERVOUS_SYSTEM,CAS-1,Lapatinib,EGFR,8.0
CCK81_LARGE_INTESTINE,CCK-81,Lapatinib,EGFR,0.240194838
CHL1_SKIN,CHL-1,Lapatinib,EGFR,0.675993323
CHP212_AUTONOMIC_GANGLIA,CHP-212,Lapatinib,EGFR,8.0
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CI-1,Lapatinib,EGFR,8.0
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CMK-86,Lapatinib,EGFR,8.0
COLO201_LARGE_INTESTINE,COLO 201,Lapatinib,EGFR,8.0
COLO205_LARGE_INTESTINE,COLO 205,Lapatinib,EGFR,8.0
COLO320_LARGE_INTESTINE,COLO-320,Lapatinib,EGFR,6.295311928
COLO677_LUNG,COLO-677,Lapatinib,EGFR,7.340506077
COLO678_LARGE_INTESTINE,COLO-678,Lapatinib,EGFR,8.0
COLO679_SKIN,COLO-679,Lapatinib,EGFR,8.0
COLO699_LUNG,COLO-699,Lapatinib,EGFR,4.934918404
COLO741_SKIN,COLO 741,Lapatinib,EGFR,8.0
CORL105_LUNG,COR-L105,Lapatinib,EGFR,8.0
CORL23_LUNG,COR-L23,Lapatinib,EGFR,8.0
COV318_OVARY,COV318,Lapatinib,EGFR,8.0
COV504_OVARY,COV504,Lapatinib,EGFR,8.0
DAOY_CENTRAL_NERVOUS_SYSTEM,Daoy,Lapatinib,EGFR,8.0
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,DBTRG-05MG,Lapatinib,EGFR,8.0
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DEL,Lapatinib,EGFR,6.89677763
DETROIT562_UPPER_AERODIGESTIVE_TRACT,Detroit 562,Lapatinib,EGFR,8.0
DKMG_CENTRAL_NERVOUS_SYSTEM,DK-MG,Lapatinib,EGFR,8.0
DMS114_LUNG,DMS 114,Lapatinib,EGFR,8.0
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DOHH-2,Lapatinib,EGFR,1.706622675
DOV13_OVARY,DOV13,Lapatinib,EGFR,8.0
DU145_PROSTATE,DU 145,Lapatinib,EGFR,8.0
DV90_LUNG,DV-90,Lapatinib,EGFR,8.0
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EB1,Lapatinib,EGFR,8.0
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EB2,Lapatinib,EGFR,8.0
EBC1_LUNG,EBC-1,Lapatinib,EGFR,6.37237215
EFE184_ENDOMETRIUM,EFE-184,Lapatinib,EGFR,8.0
EFM19_BREAST,EFM-19,Lapatinib,EGFR,8.0
EFO21_OVARY,EFO-21,Lapatinib,EGFR,8.0
EFO27_OVARY,EFO-27,Lapatinib,EGFR,8.0
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EM-2,Lapatinib,EGFR,8.0
EN_ENDOMETRIUM,EN,Lapatinib,EGFR,8.0
ES2_OVARY,ES-2,Lapatinib,EGFR,8.0
ESS1_ENDOMETRIUM,ESS-1,Lapatinib,EGFR,4.373962402
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,F-36P,Lapatinib,EGFR,8.0
FADU_UPPER_AERODIGESTIVE_TRACT,FaDu,Lapatinib,EGFR,0.823072731
FU97_STOMACH,FU97,Lapatinib,EGFR,8.0
FUOV1_OVARY,FU-OV-1,Lapatinib,EGFR,8.0
G361_SKIN,G-361,Lapatinib,EGFR,3.047757149
G401_SOFT_TISSUE,G-401,Lapatinib,EGFR,8.0
G402_SOFT_TISSUE,G-402,Lapatinib,EGFR,8.0
GAMG_CENTRAL_NERVOUS_SYSTEM,GAMG,Lapatinib,EGFR,8.0
GB1_CENTRAL_NERVOUS_SYSTEM,GB-1,Lapatinib,EGFR,8.0
GCIY_STOMACH,GCIY,Lapatinib,EGFR,7.255415916
GCT_SOFT_TISSUE,GCT,Lapatinib,EGFR,4.213954926
GI1_CENTRAL_NERVOUS_SYSTEM,GI-1,Lapatinib,EGFR,8.0
GLC82_LUNG,GLC-82,Lapatinib,EGFR,8.0
GMS10_CENTRAL_NERVOUS_SYSTEM,GMS-10,Lapatinib,EGFR,8.0
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GRANTA-519,Lapatinib,EGFR,8.0
H4_CENTRAL_NERVOUS_SYSTEM,H4,Lapatinib,EGFR,8.0
HARA_LUNG,HARA,Lapatinib,EGFR,6.656740665
HCC1187_BREAST,HCC1187,Lapatinib,EGFR,8.0
HCC1395_BREAST,HCC1395,Lapatinib,EGFR,8.0
HCC15_LUNG,HCC-15,Lapatinib,EGFR,8.0
HCC1569_BREAST,HCC1569,Lapatinib,EGFR,8.0
HCC1806_BREAST,HCC1806,Lapatinib,EGFR,4.378564953
HCC1954_BREAST,HCC1954,Lapatinib,EGFR,1.457828045
HCC2935_LUNG,HCC2935,Lapatinib,EGFR,1.239923596
HCC4006_LUNG,HCC4006,Lapatinib,EGFR,1.854881167
HCC44_LUNG,HCC-44,Lapatinib,EGFR,8.0
HCC56_LARGE_INTESTINE,HCC-56,Lapatinib,EGFR,8.0
HCC70_BREAST,HCC70,Lapatinib,EGFR,7.363319874
HCC78_LUNG,HCC-78,Lapatinib,EGFR,8.0
HCC827_LUNG,HCC827,Lapatinib,EGFR,0.372133989
HCT116_LARGE_INTESTINE,HCT 116,Lapatinib,EGFR,8.0
HCT15_LARGE_INTESTINE,HCT-15,Lapatinib,EGFR,4.666832924
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HD-MY-Z,Lapatinib,EGFR,7.012477875
HDQP1_BREAST,HDQ-P1,Lapatinib,EGFR,3.104604244
HEC151_ENDOMETRIUM,HEC-151,Lapatinib,EGFR,8.0
HEC1A_ENDOMETRIUM,HEC-1-A,Lapatinib,EGFR,8.0
HEC1B_ENDOMETRIUM,HEC-1-B,Lapatinib,EGFR,8.0
HEC251_ENDOMETRIUM,HEC-251,Lapatinib,EGFR,8.0
HEC265_ENDOMETRIUM,HEC-265,Lapatinib,EGFR,8.0
HEC59_ENDOMETRIUM,HEC-59,Lapatinib,EGFR,8.0
HEC6_ENDOMETRIUM,HEC-6,Lapatinib,EGFR,8.0
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL 92.1.7,Lapatinib,EGFR,8.0
HEP3B217_LIVER,Hep 3B2.1-7,Lapatinib,EGFR,8.0
HEPG2_LIVER,Hep G2,Lapatinib,EGFR,8.0
HEYA8_OVARY,Hey-A8,Lapatinib,EGFR,8.0
HGC27_STOMACH,HGC-27,Lapatinib,EGFR,8.0
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HH,Lapatinib,EGFR,8.0
HLE_LIVER,HLE,Lapatinib,EGFR,8.0
HLF_LIVER,HLF,Lapatinib,EGFR,8.0
HMC18_BREAST,HMC-1-8,Lapatinib,EGFR,8.0
HMCB_SKIN,HMCB,Lapatinib,EGFR,4.767848015
HOS_BONE,HOS,Lapatinib,EGFR,8.0
HPAC_PANCREAS,HPAC,Lapatinib,EGFR,8.0
HPAFII_PANCREAS,HPAF-II,Lapatinib,EGFR,4.22283268
HS229T_LUNG,Hs 229.T,Lapatinib,EGFR,8.0
HS294T_SKIN,Hs 294T,Lapatinib,EGFR,8.0
HS578T_BREAST,Hs 578T,Lapatinib,EGFR,8.0
HS683_CENTRAL_NERVOUS_SYSTEM,Hs 683,Lapatinib,EGFR,8.0
HS695T_SKIN,Hs 695T,Lapatinib,EGFR,8.0
HS729_SOFT_TISSUE,Hs 729,Lapatinib,EGFR,8.0
HS739T_BREAST,Hs 739.T,Lapatinib,EGFR,8.0
HS746T_STOMACH,Hs 746T,Lapatinib,EGFR,8.0
HS766T_PANCREAS,Hs 766T,Lapatinib,EGFR,8.0
HS840T_UPPER_AERODIGESTIVE_TRACT,Hs 840.T,Lapatinib,EGFR,8.0
HS852T_SKIN,Hs 852.T,Lapatinib,EGFR,8.0
HS895T_SKIN,Hs 895.T,Lapatinib,EGFR,8.0
HS936T_SKIN,Hs 936.T,Lapatinib,EGFR,8.0
HS939T_SKIN,Hs 939.T,Lapatinib,EGFR,8.0
HS944T_SKIN,Hs 944.T,Lapatinib,EGFR,8.0
HSC2_UPPER_AERODIGESTIVE_TRACT,HSC-2,Lapatinib,EGFR,8.0
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HT,Lapatinib,EGFR,6.772954499
HT1080_SOFT_TISSUE,HT-1080,Lapatinib,EGFR,8.0
HT1197_URINARY_TRACT,HT-1197,Lapatinib,EGFR,8.0
